horizon,experiment,n,mae,rmse,median_absolute_error,direction,direction_all_rows,balanced_direction,active_direction,active_fraction,correlation,r2,calibration_slope,bias,mae_skill,mse_skill,price_mae_usd,within_2_usd,always_up_direction
7,heterogeneous_calibrated,537,0.02378490431350884,0.03120657157764891,0.01923475873789854,0.595903165735568,0.595903165735568,0.5163592446201142,0.595903165735568,1.0,0.06760802851876034,-0.011442757279000348,0.3531727056257515,0.0008101015655350759,0.02246058527880923,0.023204897031306237,91.84422416510077,0.0148975791433892,0.6145251396648045
14,persistence,535,0.032046382861711964,0.042103087341196714,0.026258485974125723,,0.0,,,0.0,,-0.09222674631818828,,-0.012234493176020534,0.0,0.0,120.70336448598131,0.009345794392523364,0.6280373831775701
14,historical_mean,535,0.030755298890475496,0.04083358787333858,0.023939596592585818,0.6280373831775701,0.6280373831775701,0.5,0.6280373831775701,1.0,-0.14920489172301837,-0.02735373381501316,-3.8775127689238564,-0.004832744205733897,0.04028797810997309,0.0593951876035419,117.09922441501752,0.014953271028037384,0.6280373831775701
14,direction_majority,535,0.0306553120776984,0.04107026374416647,0.024025135054064117,0.6280373831775701,0.6280373831775701,0.5,0.6280373831775701,1.0,-0.17203578593777757,-0.03929755328428941,-9.884835423347191,0.007319085224872846,0.04340804358533623,0.04845989462565259,118.11326867149891,0.018691588785046728,0.6280373831775701
14,ridge,535,0.03222794454242423,0.04167029176437105,0.027102373775816733,0.5925233644859813,0.5925233644859813,0.5383165829145728,0.5925233644859813,1.0,0.09198980524562908,-0.06988722986089901,0.2522466263966297,-0.002544207171869763,-0.0056655904504341326,0.020453185689321418,121.90910080560852,0.018691588785046728,0.6280373831775701
14,elasticnet,535,0.03243461011065833,0.04186877620592462,0.02725945973415211,0.5906542056074766,0.5906542056074766,0.5347795525245274,0.5906542056074766,1.0,0.08988146499805558,-0.08010370344924977,0.2367535671250436,-0.0026175375115501053,-0.012114541931976142,0.011099382898106414,122.38792033520248,0.007476635514018692,0.6280373831775701
14,random_forest,535,0.03275136408467264,0.0426489541265318,0.02516793960094012,0.5570093457943925,0.5570093457943925,0.4762353433835846,0.5570093457943925,1.0,-0.07086445742552538,-0.1207317931391767,-0.2535970471433066,-0.002222070331733273,-0.02199877677311801,-0.026098103637433034,124.5226094759315,0.013084112149532711,0.6280373831775701
14,gradient_boosting,535,0.03191098515774435,0.041750094319201625,0.025052037639588957,0.5813084112149532,0.5813084112149532,0.49045824359894713,0.5813084112149532,1.0,-0.006750286473678984,-0.07398902448931333,-0.025790476447552644,-0.0017789526771321363,0.004225054183240928,0.016697743294011858,121.58845000091742,0.018691588785046728,0.6280373831775701
14,mlp_raw,535,0.03177789053215581,0.04171271692071686,0.025245351179000914,0.5757009345794393,0.5757009345794393,0.49111629576453697,0.5757009345794393,1.0,0.0349297132769541,-0.07206687570775827,0.11835947462835238,-0.0030121468514049113,0.008378241335840197,0.018457587381363272,120.22027858462327,0.016822429906542057,0.6280373831775701
14,mlp_nested,535,0.03140814161639632,0.041325339970148534,0.025654885654885495,0.5686274509803921,0.3794392523364486,0.48327464788732394,0.5686274509803921,0.6672897196261682,0.00793280632561572,-0.05224723052446634,0.05121339315717582,-0.007060072308380112,0.019916171134502392,0.03660367769649442,118.46596421877476,0.009345794392523364,0.6280373831775701
